"Page","Guard","Includes","PhpRefs"
"pages/auth-recoverpw.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/background.php | ../layouts/footer-scripts.php","index.php | auth-login.php"
"pages/auth-register-2.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/footer-scripts.php","index.php | auth-login-2.php"
"pages/charts-apex-area.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-bar.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-boxplot.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-bubble.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-candlestick.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-column.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-heatmap.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-line.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-mixed.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-pie.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-polar-area.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-radar.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-radialbar.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-scatter.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-sparklines.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-timeline.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-apex-treemap.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-chartjs-area.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-chartjs-bar.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-chartjs-line.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/charts-chartjs-other.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/class-record-print.php","require_active_role('teacher') | require_role('admin')","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","admin-assign-teachers.php | teacher-dashboard.php | admin-dashboard.php"
"pages/contact-us.php","","../layouts/session.php | /../includes/site_pages.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","index.php | news.php | about.php | support.php | contact-us.php"
"pages/dashboard-analytics.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/egg.php","","",""
"pages/error-404-alt.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","index.php"
"pages/error-404.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/background.php | ../layouts/footer-scripts.php","index.php"
"pages/error-500.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/background.php | ../layouts/footer-scripts.php","index.php"
"pages/extended-dragula.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/extended-range-slider.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/extended-ratings.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/extended-scrollbar.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/extended-scrollspy.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/form-advanced.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/form-editors.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/form-elements.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/form-fileuploads.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/form-validation.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/form-wizard.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/grade-record-seed-preview-print.php","require_any_active_role(['admin', 'teacher'])","../layouts/session.php",""
"pages/grade-record-seed-preview.php","require_any_active_role(['admin', 'teacher'])","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","teacher-dashboard.php"
"pages/icons-bootstrap.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/icons-remixicons.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/import_users.php","","../config/db.php",""
"pages/layouts-compact.php","","../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/topbar.php | ../layouts/left-sidebar.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/layouts-detached.php","","../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/topbar.php | ../layouts/left-sidebar.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/layouts-full.php","","../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/topbar.php | ../layouts/left-sidebar.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/layouts-fullscreen.php","","../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/topbar.php | ../layouts/left-sidebar.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/layouts-horizontal.php","","../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/topbar.php | ../layouts/horizontal-nav.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/layouts-hover.php","","../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/topbar.php | ../layouts/left-sidebar.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/layouts-icon-view.php","","../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/topbar.php | ../layouts/left-sidebar.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/maps-google.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/maps-vector.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/messages.php","require_any_role(['admin', 'teacher'])","../layouts/session.php | ../layouts/main.php | /../includes/messages.php | /../includes/audit.php | /../includes/admin_ai_messages.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","messages.php?thread_id=ai"
"pages/monthly-accomplishment-print.php","","/../modules/apps/accomplishment_report/monthly-accomplishment-print.php",""
"pages/monthly-accomplishment.php","","/../modules/apps/accomplishment_report/monthly-accomplishment.php",""
"pages/news.php","","../layouts/session.php | /../includes/site_pages.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","index.php | news.php | about.php | support.php | contact-us.php"
"pages/pages-faq.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/pages-invoice.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/pages-maintenance.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/background.php | ../layouts/footer-scripts.php",""
"pages/pages-preloader.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/pages-pricing.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/pages-profile.php","require_any_role(['admin', 'teacher', 'student'])","../layouts/session.php | /../includes/profile.php | /../includes/messages.php | /../includes/audit.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","pages-profile.php?tab=settings | messages.php | pages-profile.php?tab=about | pages-profile.php?tab=timeline | admin-profile-approvals.php"
