"path","guards","has_session","lines"
"C:\laragon\www\doc-ease\legacy_codebase\pages\layouts-detached.php","-","False","521"
"C:\laragon\www\doc-ease\legacy_codebase\pages\layouts-full.php","-","False","376"
"C:\laragon\www\doc-ease\legacy_codebase\pages\layouts-fullscreen.php","-","False","376"
"C:\laragon\www\doc-ease\legacy_codebase\pages\layouts-horizontal.php","-","False","372"
"C:\laragon\www\doc-ease\legacy_codebase\pages\layouts-hover.php","-","False","376"
"C:\laragon\www\doc-ease\legacy_codebase\pages\layouts-icon-view.php","-","False","376"
"C:\laragon\www\doc-ease\legacy_codebase\pages\maps-google.php","-","True","117"
"C:\laragon\www\doc-ease\legacy_codebase\pages\maps-vector.php","-","True","173"
"C:\laragon\www\doc-ease\legacy_codebase\pages\messages.php","-","True","535"
"C:\laragon\www\doc-ease\legacy_codebase\pages\monthly-accomplishment.php","-","False","2"
"C:\laragon\www\doc-ease\legacy_codebase\pages\monthly-accomplishment-print.php","-","False","2"
"C:\laragon\www\doc-ease\legacy_codebase\pages\news.php","-","True","373"
"C:\laragon\www\doc-ease\legacy_codebase\pages\pages-faq.php","-","True","122"
"C:\laragon\www\doc-ease\legacy_codebase\pages\pages-invoice.php","-","True","190"
"C:\laragon\www\doc-ease\legacy_codebase\pages\pages-maintenance.php","-","True","64"
"C:\laragon\www\doc-ease\legacy_codebase\pages\pages-preloader.php","-","True","386"
"C:\laragon\www\doc-ease\legacy_codebase\pages\pages-pricing.php","-","True","129"
"C:\laragon\www\doc-ease\legacy_codebase\pages\pages-profile.php","-","True","864"
"C:\laragon\www\doc-ease\legacy_codebase\pages\pages-starter.php","-","True","47"
"C:\laragon\www\doc-ease\legacy_codebase\pages\pages-timeline.php","-","True","173"
"C:\laragon\www\doc-ease\legacy_codebase\pages\process_add_subject.php","admin","True","101"
"C:\laragon\www\doc-ease\legacy_codebase\pages\process_delete_subject.php","admin","True","28"
"C:\laragon\www\doc-ease\legacy_codebase\pages\process_edit_subject.php","admin","True","47"
"C:\laragon\www\doc-ease\legacy_codebase\pages\section.php","admin","True","385"
"C:\laragon\www\doc-ease\legacy_codebase\pages\student\todays_act.php","student_approved","True","6"
"C:\laragon\www\doc-ease\legacy_codebase\pages\student-assessment-module.php","student_approved","True","1340"
"C:\laragon\www\doc-ease\legacy_codebase\pages\student-attendance.php","student_approved","True","688"
"C:\laragon\www\doc-ease\legacy_codebase\pages\student-attendance-scan.php","student_approved","True","328"
"C:\laragon\www\doc-ease\legacy_codebase\pages\student-dashboard.php","student_approved","True","759"
"C:\laragon\www\doc-ease\legacy_codebase\pages\student-face-register.php","student_approved","True","292"
"C:\laragon\www\doc-ease\legacy_codebase\pages\student-learning-material.php","student_approved","True","248"
"C:\laragon\www\doc-ease\legacy_codebase\pages\student-learning-materials.php","student_approved","True","206"
"C:\laragon\www\doc-ease\legacy_codebase\pages\student-live-slide.php","student_approved","True","186"
"C:\laragon\www\doc-ease\legacy_codebase\pages\student-quiz-attempt.php","student_approved","True","1751"
"C:\laragon\www\doc-ease\legacy_codebase\pages\support.php","-","True","241"
"C:\laragon\www\doc-ease\legacy_codebase\pages\tables-basic.php","-","True","838"
"C:\laragon\www\doc-ease\legacy_codebase\pages\tables-datatable.php","-","True","5761"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-assessment-builder.php","teacher","True","1052"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-assessment-scores.php","teacher","True","611"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-assignment-builder.php","teacher","True","838"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-assignment-submissions.php","teacher","True","756"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-attendance-boundary.php","teacher","True","890"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-attendance-qr.php","teacher","True","132"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-attendance-uploads.php","teacher","True","722"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-builds.php","teacher","True","365"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-claim.php","teacher","True","366"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-component-assessments.php","teacher","True","836"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-dashboard.php","teacher","True","329"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-grading-config.php","teacher","True","2872"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-learning-material-editor.php","teacher","True","1079"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-learning-material-preview.php","teacher","True","234"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-learning-materials.php","teacher","True","434"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-live-slides.php","teacher","True","235"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-my-classes.php","teacher","True","628"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-reverse-class-record.php","teacher","True","1247"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-schedule.php","teacher","True","1264"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-tos-tqs.php","teacher","True","877"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-tos-tqs-export.php","teacher","True","88"
"C:\laragon\www\doc-ease\legacy_codebase\pages\teacher-wheel.php","teacher","True","700"
"C:\laragon\www\doc-ease\legacy_codebase\pages\tutorial-admin.php","admin","True","350"
"C:\laragon\www\doc-ease\legacy_codebase\pages\tutorial-enroll-student.php","admin","True","147"
"C:\laragon\www\doc-ease\legacy_codebase\pages\tutorial-program-chair.php","-","True","157"
"C:\laragon\www\doc-ease\legacy_codebase\pages\tutorials.php","-","True","209"
"C:\laragon\www\doc-ease\legacy_codebase\pages\tutorial-student.php","-","True","231"
"C:\laragon\www\doc-ease\legacy_codebase\pages\tutorial-teacher.php","-","True","357"
"C:\laragon\www\doc-ease\legacy_codebase\pages\tutorial-users.php","admin","True","171"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-accordions.php","-","True","306"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-alerts.php","-","True","280"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-avatars.php","-","True","339"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-badges.php","-","True","179"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-breadcrumb.php","-","True","106"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-buttons.php","-","True","327"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-cards.php","-","True","492"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-carousel.php","-","True","294"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-collapse.php","-","True","133"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-dropdowns.php","-","True","686"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-embed-video.php","-","True","97"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-grid.php","-","True","317"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-links.php","-","True","175"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-list-group.php","-","True","416"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-modals.php","-","True","1105"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-notifications.php","-","True","382"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-offcanvas.php","-","True","306"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-pagination.php","-","True","199"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-placeholders.php","-","True","171"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-popovers.php","-","True","175"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-progress.php","-","True","176"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-ribbons.php","-","True","49"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-spinners.php","-","True","178"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-tabs.php","-","True","314"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-tooltips.php","-","True","133"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-typography.php","-","True","424"
"C:\laragon\www\doc-ease\legacy_codebase\pages\ui-utilities.php","-","True","646"
"C:\laragon\www\doc-ease\legacy_codebase\pages\user-dashboard.php","student_approved","True","6"
"C:\laragon\www\doc-ease\legacy_codebase\pages\widgets.php","-","True","723"
